aaq: Pawanobskewi	rel:etymological_origin_of	eng: Penobscot
aaq: senabe	rel:etymological_origin_of	eng: sannup
abe: waniigan	rel:etymological_origin_of	eng: wangan
abe: waniigan	rel:etymological_origin_of	eng: wannigan
adt: yuru	rel:etymological_origin_of	eng: euro
afr: Ciskei	rel:etymological_origin_of	eng: Ciskei
arn: ako	rel:etymology	spa: ajo
arn: chinge	rel:etymological_origin_of	spa: chingue
arn: huata	rel:etymological_origin_of	spa: guata
arn: koypu	rel:etymological_origin_of	spa: coipo
arn: lof	rel:etymological_origin_of	eng: lof
arn: logko	rel:etymological_origin_of	spa: lonco
arn: pichi	rel:has_derived_form	arn: Pichilemu
arn: pichi	rel:has_derived_form	arn: pichiche
arn: pichi	rel:has_derived_form	arn: pichidomo
arn: pichi	rel:has_derived_form	arn: pichirume
arn: pichi	rel:has_derived_form	arn: pichiwentru
arn: pichiche	rel:is_derived_from	arn: pichi
arn: pichidomo	rel:is_derived_from	arn: pichi
arn: pichirume	rel:is_derived_from	arn: pichi
arn: pichiwentru	rel:is_derived_from	arn: pichi
cym: haemoglobin	rel:variant:orthography	cym: hemoglobin
dan: Fillip	rel:variant:orthography	dan: Filip
dan: Guden	rel:is_derived_from	dan: gud
dan: Gudhjem	rel:is_derived_from	dan: gud
dan: fast	rel:has_derived_form	dan: fastansat
dan: fast	rel:has_derived_form	dan: fasthed
dan: fast	rel:is_derived_from	dan: faste
dan: faste	rel:is_derived_from	dan: fastel
dan: fasto	rel:is_derived_from	dan: fastel
dan: fasto	rel:has_derived_form	dan: fastor
dan: fasto	rel:has_derived_form	dan: fastol
dan: fasto	rel:has_derived_form	dan: fastoi
dan: fil	rel:etymology	eng: file
dan: fil	rel:etymology	gml: vile
dan: fil	rel:has_derived_form	dan: filen
dan: fil	rel:has_derived_form	dan: filene
dan: fil	rel:has_derived_form	dan: filenes
dan: fil	rel:has_derived_form	dan: filens
dan: fil	rel:has_derived_form	dan: filerne
dan: fil	rel:has_derived_form	dan: filernes
dan: fil	rel:is_derived_from	dan: file
eng: a	rel:is_derived_from	eng: x
eng: b	rel:is_derived_from	eng: a
eng: c	rel:is_derived_from	eng: a
eng: d	rel:is_derived_from	eng: b
eng: e	rel:is_derived_from	eng: b
eng: h	rel:is_derived_from	eng: d
eng: i	rel:is_derived_from	eng: d
eng: f	rel:is_derived_from	eng: c
eng: g	rel:is_derived_from	eng: c
eng: j	rel:is_derived_from	eng: g
eng: k	rel:is_derived_from	eng: g
eng: bat	rel:is_derived_from	eng: battastic
eng: battastic	rel:has_derived_form	eng: bat
eng: batmobile	rel:is_derived_from	eng: bat
eng: bat	rel:has_derived_form	eng: batmobile
eng: batmobile	rel:is_derived_from	eng: bat
eng: bat	rel:has_derived_form	eng: batmobile
eng: batman	rel:is_derived_from	eng: bat
eng: bat	rel:has_derived_from	eng: batman
eng: batmobilesecond	rel:is_derived_from	eng: batmobile
eng: batmobile	rel:has_derived_from	eng: batmobilesecond
eng: batmobilenolan	rel:is_derived_from	eng: batmobile
eng: batmobile	rel:is_derived_form	eng: batmobilenola
spa: batihombre	rel:is_derived_from	eng: batman
eng: batman	rel:has_derived_form	spa: batihombre
spa: batimujer	rel:is_derived_from	eng: batman
eng: batman	rel:has_derived_from	spa: batimujer
spa: batimovil	rel:is_derived_from	eng: batmobilesecond
eng: batmobilesecond	rel:has_derived_form	spa: batimovil
spa: batmovil	rel:is_derived_from	eng: batmobilesecond
eng: batmobileseocnd	rel:has_derived_form	eng: batmovil
spa: batirobin	rel:is_derived_from	spa: batihombre
spa: batihombre	rel:has_derived_form	spa: batirobin
spa: batichica	rel:is_derived_from	spa: batihombre
spa: batihombre	rel:has_derived_form	spa: batichica
eng: Ciskei	rel:etymology	afr: Ciskei
eng: euro	rel:etymological_origin_of	adt: yuru
eng: file	rel:etymological_origin_of	dan: fil
eng: lof	rel:etymology	arn: lof
eng: Pastafarian	rel:etymologically_related	eng: Pastafarianism
eng: Pastafarian	rel:etymologically_related	eng: trustafarian
eng: Pastafarian	rel:has_derived_form	eng: Pastafarians
eng: Pastafarian	rel:is_derived_from	eng: Pastafarianism
eng: Pastafarian	rel:is_derived_from	eng: Rastafarian
eng: Pastafarianism	rel:etymologically_related	eng: Pastafarian
eng: Pastafarianism	rel:has_derived_form	eng: Pastafarian
eng: Pastafarians	rel:is_derived_from	eng: Pastafarian
eng: polymersome	rel:etymology	eng: polymer
eng: polymer	rel:etymological_origin_of	eng: polymersome
eng: Penobscot	rel:etymology	aaq: Pawanobskewi
eng: sannup	rel:etymology	aaq: senabe
eng: wangan	rel:etymology	abe: waniigan
eng: wannigan	rel:etymology	abe: waniigan
spa: ajo	rel:etymological_origin_of	arn: ako
spa: chingue	rel:etymology	arn: chingue
spa: guata	rel:etymology	spa: huata
spa: coipo	rel:etymology	arn: koypu
spa: lonco	rel:etymology	arn: logko
